
10.054,0.00,-0.05,0.95
10.149,0.00,0.00,1.00
10.244,0.00,0.05,1.05
10.339,0.00,0.00,1.05
10.481,0.00,0.05,1.00
10.576,0.00,0.00,1.00
10.671,0.00,0.00,0.95
10.765,-0.05,0.05,1.00
10.859,0.00,0.00,0.95
11.001,0.00,0.00,1.05
11.095,0.00,0.00,1.00
11.191,0.00,0.00,1.00
11.284,-0.05,0.00,1.00
11.379,0.00,0.05,1.05
11.521,0.00,-0.05,1.00
11.616,0.00,0.00,0.95
11.712,0.00,-0.05,0.95
11.806,0.00,0.05,1.00
11.900,0.00,0.00,1.00
12.041,0.00,0.00,0.95
12.136,0.00,0.05,1.00
12.230,0.00,-0.05,1.00
12.325,0.00,0.00,0.95
12.466,0.05,0.00,1.00
12.560,0.00,0.00,1.00
12.652,-0.05,0.00,0.95
12.745,0.00,0.00,1.00
12.840,0.00,0.00,0.90
12.982,0.15,0.00,1.00
13.075,0.00,0.05,0.95
13.168,0.00,0.05,1.05
13.263,0.00,0.00,1.00
13.406,0.00,0.00,1.05
13.500,0.00,0.00,1.00
13.592,0.00,-0.05,1.00
13.684,0.05,0.00,1.05
13.781,-0.05,0.00,1.00
13.920,0.00,0.05,1.00
14.013,0.00,0.10,1.05
14.107,0.00,0.05,1.05
14.200,-0.05,0.00,0.95
14.339,-0.05,0.05,0.95
14.433,-0.15,-0.05,1.00
14.527,-0.20,-0.15,1.00
14.620,-0.20,-0.15,1.00
14.761,-0.15,-0.15,0.95
14.853,-0.15,-0.20,0.90
14.947,-0.10,-0.30,0.95
15.043,-0.05,-0.35,0.90
15.184,-0.05,-0.35,0.95
15.275,0.00,-0.40,0.90
15.368,-0.05,-0.45,0.80
15.462,0.00,-0.50,0.85
15.555,0.00,-0.55,0.85
15.695,0.05,-0.50,0.80
15.790,0.15,-0.55,0.85
15.882,0.35,-0.50,0.80
15.975,0.20,-0.50,0.95
16.117,0.25,-0.45,0.80
16.212,0.30,-0.35,0.75
16.305,0.30,-0.40,0.85
16.398,0.35,-0.35,0.75
16.538,0.45,-0.25,0.85
16.632,0.40,-0.25,0.85
16.726,0.45,-0.20,0.85
16.821,0.45,-0.35,0.80
16.915,0.50,-0.15,0.75
17.056,0.55,-0.05,0.85
17.150,0.55,-0.10,0.85
17.242,0.50,-0.05,0.80
17.334,0.55,0.15,0.85
17.475,0.55,0.15,0.80
17.568,0.55,0.25,0.85
17.663,0.50,0.25,0.80
17.756,0.45,0.25,0.85
17.896,0.25,0.30,0.80
17.991,0.30,0.30,0.80
18.086,0.30,0.40,0.85
18.178,0.25,0.45,0.85
18.273,0.20,0.50,0.85
18.412,0.20,0.50,0.80
18.505,0.15,0.45,0.90
18.598,0.05,0.45,0.70
18.693,-0.10,0.40,1.00
18.836,-0.05,0.40,0.95
18.932,-0.10,0.35,0.90
19.027,-0.30,0.25,0.85
19.122,-0.25,0.25,0.85
19.216,-0.30,0.20,0.90
19.357,-0.40,0.05,0.95
19.448,-0.45,0.05,0.90
19.541,-0.40,-0.10,0.90
19.635,-0.30,-0.15,0.85
19.775,-0.20,-0.20,0.85
19.869,-0.30,-0.35,0.85
19.964,-0.20,-0.40,0.95
20.057,-0.20,-0.45,0.85
20.151,-0.15,-0.50,0.85
20.293,0.00,-0.45,0.80
20.387,0.10,-0.50,0.80
20.481,0.15,-0.55,0.80
20.573,0.20,-0.50,0.80
20.715,0.25,-0.50,0.85
20.809,0.35,-0.55,0.80
20.902,0.45,-0.35,0.80
20.996,0.50,-0.30,0.85
21.134,0.55,-0.15,0.75
21.228,0.65,-0.05,0.70
21.324,0.70,0.10,0.75
21.418,0.65,0.25,0.65
21.512,0.60,0.30,0.65
21.651,0.60,0.40,0.60
21.745,0.60,0.45,0.40
21.837,0.55,0.55,0.65
21.931,0.40,0.60,0.60
22.071,0.40,0.60,0.60
22.165,0.40,0.65,0.65
22.259,0.30,0.80,0.65
22.352,0.25,0.60,0.65
22.492,0.20,0.65,0.75
22.585,0.15,0.65,0.65
22.681,0.05,0.60,0.80
22.774,-0.10,0.55,0.80
22.866,-0.20,0.50,0.85
23.007,-0.20,0.45,0.95
23.101,-0.20,0.40,0.85
23.195,-0.25,0.30,0.85
23.287,-0.30,0.25,0.85
23.429,-0.35,0.15,0.85
23.523,-0.35,0.15,0.90
23.617,-0.35,0.05,0.85
23.709,-0.50,0.05,0.90
23.847,-0.50,-0.05,0.90
23.942,-0.40,-0.15,0.90
24.037,-0.40,-0.25,0.85
24.131,-0.40,-0.25,0.85
24.225,-0.40,-0.30,0.90
24.365,-0.35,-0.30,0.80
24.460,-0.30,-0.40,0.85
24.553,-0.30,-0.45,0.85
24.646,-0.25,-0.45,0.80
24.785,-0.20,-0.45,0.85
24.879,-0.20,-0.50,0.80
24.973,-0.10,-0.50,0.85
25.068,-0.05,-0.55,0.85
25.206,0.00,-0.50,0.80
25.299,0.00,-0.60,0.80
25.392,0.15,-0.55,0.80
25.486,0.15,-0.55,0.75
25.581,0.20,-0.50,0.85
25.721,0.20,-0.55,0.80
25.816,0.20,-0.50,0.80
25.912,0.25,-0.45,0.85
26.006,0.35,-0.35,0.85
26.147,0.45,-0.30,0.70
26.241,0.45,-0.25,0.75
26.335,0.50,-0.25,0.80
26.428,0.55,-0.15,0.80
26.524,0.60,-0.15,0.80
26.663,0.60,-0.05,0.75
26.757,0.65,0.10,0.80
26.849,0.55,0.05,0.70
26.944,0.50,0.25,0.80
27.085,0.50,0.25,0.75
27.180,0.40,0.30,0.75
27.274,0.30,0.35,0.75
